CommitID,Commit Message
0aad0e87529a0562ed50911aff5ceea9bfacab5e,Refactoring of filters to make better use of inheritance hierarchy.
0ae0771ce402b7992acd6433728205f9aadb1dd6,Reduces the size of JavaScript emitted by HtmlWriter#writeAllGridJavaScript and changes it to not fire if the layout areas are already in the right order.
0af567742385370007a0589b5c8fc4ae6f40e3d1,"Clean up Navin's abstraction over Hibernate Core, clean style issues, apply back changes from my original fix patch"
0b160ef24716427b495e6b472878cb855d8858d8,Fixed bug on change file size reported by Anton.
0b279a4e3a64d6cf60c4c89f55d2ca0f5a4eaf55,Removed FieldDecompositionSolver<T>.solve(T[]). This is in accordance with JIRA MATH-661.
0b3387692ed36af122004f3fb0627df1bbd6b8f4,Throwing out the Key and Value classes for now to reduce the overall complexity
0b6a42405d96ec44c718fc088999a309628f32fc,Refactor People Project & Inheritance Projects
0b7272cb810e0cebe9c9fd4d274ec39b288cbb78,ROO-2018: Roo 1.1.1 does not support inheritanceType TABLE_PER_CLASS with GWT 2.1.1
0b7eba9b9fed077e425ca97864166fd38af92670,Improved the UI for setting the battlefield size when creating a new battle.
0bd7ade93ac8db3f3fff665e9d664b6ec590cde7,adding valiation to Jaxb. Replacing strings with statics. correcting the composition of the specicmeasures xml
0c1121896cb6c3962b0b045303f1389dbef198e5,"Totally rewritten to simplyfy and compact the code + added 1200x1200 size, and set the step size to 100"
0c11c42d1116d162483c7fb3e5f259d883ca5479,"A custom Info.plist file can now be specified on the command line. Also added other iOS target specific options (-entitlements, -resourcerules, -signidentity, -sdk). (#92) Auto-generated Info.plist used when no custom Info.plist have been specified will now support iPad screen size as well."
0c1d50e25139f237ad6bd73fc198988cbd5299bb,"Added abstraction to messages, to contain senders ip. Necessary to determine which slave message comming from at master, but also used to provide masterIp at slave's initial setup"
0c35e381af5877fbd1611369a95901dadf6a3973,Reduce duplicate code and code complexity
0c5e9fa235cdc37ef71bea53c38c014740f52840,created sketch of type handling removed unnecessary abstraction reuse for declaring type
0c6da4b7b8cf2eedf0a272dc9938176a8c90c60e,Refining HttpServiceProxy abstraction.
0c70846a103152bc0e8365ba02ee46b44fcc206f,Minor decomposition for extensions
0c7f1f64d3da4dc1049def9fe43d481bbe195e7c,Reduce move generator complexity
0c86e50379487869b62bc070f21a69d905731b36,SONAR-5531 Set max limit when page size is < 1
0c998b8f9224532b6a67bf5a702d7bb5f1750dd5,Changed JOhm persistence paradigm to JPA-like from inheritance-like to make API use annotation-driven and minimally-invasive.
0ca92aa33ea70b9557fbf21af2d43bea085a4529,#135:  Comments InheritanceCompatibilityChecker
0cfc4132e690b08efdf8ff7e38326b68312b806c,SONAR-8743 Handle only leak period when computing new size measures
0d55e1a14430ee18a84de6f985da86dc61d7ae80,HADOOP-6949. Reduce RPC packet size of primitive arrays using ArrayPrimitiveWritable instead of ObjectWritable. Contributed by Matt Foley.
0d5e102eee1737502bd246634d0713a7ce9e2c23,More abstractions in Adapter pattern + exercise for Bridge pattern
0d6ef0607617f9968c9fe1267b6fef48e5d329ab,Reduce testFileGetParallel input size to ~160 KB
0d941bef7eb5bbaef6c180ad957dfb2d802dd005,"Fix for 256-bytes payloads, better errors for payloads that exceed the maximum size allowed, ability to estimate the size of a payload before adding a property, option to reject properties if the size estimate exceeds the maximum size allowed, new class for running specific tests related to reported issues, and more."
0dc98ff98c52aa5c77a2c395d4ee86527bcca95b,EST-76: more decoupling (asset from lease)
0dce81697bba4f83a8b47e6d30dd4031c4a5e314,first steps to refactor the database layout code to use class inheritance
0e773664d29d6f5e24ca5ebcc88a373ad580ec41,Semantin analysis decoupling Integration with prototype e4 DI integration New extension point
0ed552d8908c3eb57cf642fa583129a5cb10c462,[PLAT-2500] Initial work on dynamic composition of market data providers
0eedef5ec5bdd052bb407506f93290e82f4243c3,SONARDOTNT-49 Replace complexity distribution by class -> by file
0ef41011274821b6720767dcfa8c478e3fc3a51e,Renamed TrafficCompositionInputData to VehicleTypeInput to more closely correspond with the XML element name.
0f3049652a72e2abebc14a79140fe66d200045f0,"Start to build BWT abstractions, so we can present a reasonable facsimile of the BWT to the user no matter how it's represented on disk."
0f31e354d31285e55868e56bd3be22684a54c5e1,use eclipse prefs for indent size and initial indent
0f4fcb13f47462461800a53612675d964b02a220,fixed inheritance recursion
0f528d00254fd77010d062d87476e602ce8aa967,"Reviewed by tlerios, Colin & Will per ENG-508 1. Added 2 new constructors to ExpectedFailure. one default and another one that accepts I18NBoundMessage. Updated all usages of the single arg constructor with a null value, to prevent compilation errors. 2. Added a mechanism to abstract out instrument specific functionality into pluggable classes. All the instrument functions in this checkin are abstracted out except for XML serialization, which requires the specific Instrument classes to be included in an annotation. 3. Added new option position APIs & option symbol <=> option root lookup APIs to the client. 4. Added pluggable mechanism to extract & insert instrument from / into FIX messages 5. Updated PositionKeyComparator to use new pluggable mechanism for position comparison 6. Updated orderloader to support options 7. Removed OptionSymbolSplitterMessageModifier & its unit test as it doesn't make sense for options any more. 8. Updated ORS to save the fields for options for position computation. Added implementations for the new client services. 9. Updated FIXConverter and RequestHandler to add a particular FIX field to the message only if it is supported for the specific message. 10. Added OptionRootUnderlyingMap abstraction to the ORS for carrying out option symbol to option root symbol mapping. 11. Fixed an issue in the suggestions view that was preventing the photon strategy perspective from opening up."
0f56ef8ade8e6ba4f6015ceb6fe164123464ee22,update web-core:com.silverpeas.sharing package - Update NodeAccessControl in order to make CDI works - Update JPA model for subclass Entity inheritance purpose
0f5ca1b2d2d0ddfca9c2656b34bf18bb45dc2100,"refactoring, add new config option - the size of the software output buffer"
0f8341a8189b1510ee89bf8c043359825c1d107c,Coloc 2: Require the offset and the size of a masks bounding box
0f9e1fa6a6671a4ec47d82b1f81ea5ee5b4c30b7,Pool: Make pool size less static
0fb04c65f6e6b6070d18906866422017591b3ca9,* Added more to the end2end spike * Created some concrete Phase classes * refactored/renamed phases * removed BasePhase to encourage loose coupling * removed dependency on spring from events module
103f48cb34edf47e725ce98e1c5296bd1c6aea0c,CAY-795 Horizontal inheritance
